System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
Data General Eclipse S/140S,P1,NA,0.0200,NA,NA,0.0140,For,NA,NA,1974
Data General Eclipse S/140F,P1,NA,0.450,NA,NA,0.38,For,NA,NA,1974
Data General Eclipse S/200,P1,NA,0.520,NA,NA,0.417,For,NA,17,1975
Data General Eclipse M/600,P1,NA,1.07,NA,NA,0.512,For,NA,NA,NA
Data General MV/4000,P1,5,0.700,NA,NA,NA,For,NA,63,1984
Data General MV/8000,P1,4.5,1.50,NA,NA,NA,For,NA,125,1984
Data General MV/10000,P1,7.1,2.80,NA,NA,NA,For,NA,211,1984
Data General MV/20000-1,P1,11.8,5.71,NA,NA,4.17,For,NA,271,1986
Digico Micro 16P swfp,NA,NA,0.0028,NA,NA,NA,Bas,NA,9,1970
EAI 8400,P9,NA,0.195,NA,NA,0.040,For,NA,NA,1965
Elxsi M6410,NA,20,8.0,NA,NA,NA,For,NA,247,1984
Ferranti Argus 700G swf,NA,NA,0.0100,NA,NA,NA,Cor,NA,NA,1963
FPS M64/30,NA,6.0,5.80,NA,NA,NA,For,NA,360,1981
FPS M64/60,NA,19,18.0,NA,NA,NA,For,NA,1000,1981
FPS M64/60,NA,19,24.0,NA,NA,NA,For,NA,1000,1981
Fujitsu VP-2400/40,P1 Scalar,312,71.7,25.4,64.8,56.8,For,Opt,NA,1991
Fujitsu VP-2400/40 4VU,Vector,312,1828,794,1566,NA,For,Opt,NA,1991
Fujitsu VP-2400/40 4VU,90% Vector,312,530,197,472,NA,For,Opt,NA,1991
Fujitsu VP-2400/40,P1 Scalar,312,174,51.2,130,150,For,IL,NA,1991
Fujitsu VP-2400/40 4VU,Vector,312,2107,986,1662,NA,For,IL,NA,1991
Fujitsu VP-2400/40 4VU,90% Vector,312,998,349,763,NA,For,IL,NA,1991
GA SPC 16-50,NA,NA,0.0217,NA,NA,0.0042,For,NA,NA,1972
GA SPC 16-65,NA,NA,0.500,NA,NA,0.307,For,NA,NA,1972
GA 16/440 no APU,P8,NA,0.059,NA,NA,0.017,For,NA,NA,1975
GA 16/440 APU,P8,NA,0.222,NA,NA,0.174,For,NA,NA,1975
GEC 4060,P1,NA,0.182,NA,NA,NA,For,NA,NA,1979
GEC 4070,P1,NA,0.037,NA,NA,NA,Bas,NA,38,1976
GEC 4070,P1,NA,0.242,NA,NA,0.132,For,NA,38,1976
GEC 4080,P1,NA,0.213,NA,NA,NA,Cor,NA,43,1973
GEC 4080,P1,NA,0.264,NA,NA,0.141,For,NA,43,1973
GEC 4082,P1,NA,0.250,NA,NA,0.139,For,NA,54,1977
GEC 4190 FMU,P1,NA,0.640,NA,NA,0.476,For,NA,NA,1981
GEC 6330,P1,NA,1.35,NA,NA,0.780,For,NA,NA,NA
GEC Elliott 903C,NA,NA,0.00087,NA,NA,NA,Alg,NA,NA,1963
GEC Elliott 905,NA,NA,0.0044,NA,NA,NA,Alg,NA,NA,1963
Gould 32/27 FPS,P1,6.7,0.664,NA,NA,0.464,For,NA,55,NA
Gould 32/35 900ns,P1,NA,0.424,NA,NA,0.198,For,NA,NA,NA
Gould 32/55&57 600ns,P1,NA,0.510,NA,NA,0.217,For,NA,NA,NA
Gould 32/55&57 900ns,P1,NA,0.420,NA,NA,0.200,For,NA,NA,NA
Gould 32/75&77 600fp,P1,NA,0.589,NA,NA,0.385,For,NA,NA,NA
Gould 32/75&77 600ns,P1,NA,0.510,NA,NA,0.217,For,NA,NA,NA
Gould 32/75&77 900ns,P1,NA,0.428,NA,NA,0.191,For,NA,NA,NA
Gould 32/7760,P1,NA,0.0010,NA,NA,NA,Bas,NA,NA,NA
Gould 32/7760,P1,NA,0.450,NA,NA,0.209,For,NA,NA,NA
Gould 32/8750 hwfp,P1,13.3,3.87,NA,NA,2.34,For,NA,230,1981
Gould NP1-110,NA,19.2,10.0,NA,NA,NA,For,NA,375,1987
Harris S100 SAU,P10,NA,0.547,NA,NA,0.506,For,Opt,NA,1975
Harris S500 SAU,P10,NA,0.779,NA,NA,0.730,For,NA,NA,NA
Harris S800 SAU,P10,NA,1.45,NA,NA,1.370,For,NA,NA,NA
Harris H60,P10,3.3,0.880,NA,NA,0.830,For,NA,NA,1984
Harris H600,P10,3.3,0.880,NA,NA,0.830,For,NA,39,1980
Harris H700,P10,3.3,0.880,NA,NA,0.830,For,NA,50,1980
Harris H800,P10,5.6,1.58,NA,NA,1.490,For,NA,139,1980
Harris H1000,P10,13.3,4.81,NA,NA,4.070,For,NA,250,1984
Honeywell H316 HSO,P11,NA,0.0172,NA,NA,0.0056,For,NA,NA,1970
Honeywell H716,P11,NA,0.0420,NA,NA,0.0110,For,NA,8,1972
Honeywell 6/23 N,P1,NA,0.0035,NA,NA,0.0012,For,NA,NA,1975
Honeywell 6/33 N,P1,NA,0.0055,NA,NA,0.0025,For,NA,NA,1975
Honeywell 6/43 SIP,P1,NA,0.241,NA,NA,0.181,For,NA,NA,1975
Honeywell 6/53 SIP,P1,NA,0.323,NA,NA,0.247,For,NA,NA,1975
Honeywell GE 635,P12,NA,0.123,NA,NA,NA,Alg,NA,NA,1964
Honeywell GE 635,P12,NA,0.308,NA,NA,0.185,For,Opz,NA,1964
Honeywell 66/05P,P12,NA,0.134,NA,NA,0.101,For,NA,NA,1976
Honeywell 66/10P,P12,NA,0.182,NA,NA,0.138,For,NA,NA,1976
Honeywell 66/20P,P12,NA,0.453,NA,NA,0.375,For,NA,NA,1976
Honeywell 66/40P,P12,NA,0.618,NA,NA,0.487,For,NA,NA,1976
Honeywell 66/60P,P12,NA,0.348,NA,NA,NA,Alg,NA,NA,1976
Honeywell 66/60P,P12,NA,0.754,NA,NA,0.572,For,NA,NA,1976
Honeywell 6040,P12,NA,0.229,NA,NA,0.141,For,NA,540,1972
Honeywell 6060,P12,NA,0.398,NA,NA,0.264,For,NA,1000,1972
Honeywell 6080,P12,NA,0.780,NA,NA,0.468,For,NA,1300,1972
Honeywell 68 DPS,P12,NA,0.712,NA,NA,0.527,For,NA,NA,1979
Honeywell 66 DPS300,P12,NA,0.948,NA,NA,0.680,For,NA,NA,1979
Honeywell DPS 4 1.0,P1,NA,0.0182,NA,NA,0.0159,For,NA,NA,1980
Honeywell DPS 4 2.3,P1,NA,0.0294,NA,NA,0.0233,For,NA,NA,1980
Honeywell DPS 6/37,P1,NA,0.290,NA,NA,0.187,For,NA,NA,1978
Honeywell DPS 6/67,P1,NA,1.02,NA,NA,0.698,For,NA,NA,1978
Honeywell DPS 8/70M,P12,NA,1.32,NA,NA,0.887,For,NA,NA,1980
Honeywell DPS 8/70,P12,NA,0.860,0.320,1.19,0.716,For,Opt,900,1980
HP 2100A EAU FPU,P11,NA,0.050,NA,NA,NA,Alg,NA,NA,1972
HP 2100A EAU FPU,P11,NA,0.0666,NA,NA,0.0024,For,NA,NA,1972
